STATION,AVG_AM_VOL,AVG_MD_VOL,AVG_PM_VOL,AVG_EV_VOL,AVG_DY_VOL
-631,3871,8313,5618,6234,24036
-629,44559,85093,50664,65684,246000
-628,7489,11784,9667,10009,38950
-627,18142,24739,22022,24159,89062
-626,8788,14842,11006,13224,47859
-625,11418,14487,13124,12708,51737
-624,10124,12369,11527,10957,44977
-623,4792,13123,7602,7214,32732
-622,4122,9440,6048,6965,26576
-621,10615,26512,16121,18038,71286
-617,11136,21257,17619,15624,65636
-616,34361,59064,41513,45557,180495
-615,12108,16966,14578,16469,60120
-614,1212,4482,2191,3433,11319
-613,9332,20608,13602,16184,59725
-612,28032,51991,36378,40678,157079
-611,22502,41776,30481,33049,127808
-606,3537,8879,5549,3618,21583
-602,58,902,726,563,2248
-601,181,1056,823,871,2931
-513,2141,9005,5168,6927,23240
-512,70,280,153,110,613
-511,1260,2239,1771,1270,6540
-508,867,3093,1640,2003,7603
-507,2018,5666,3342,3668,14694
-504,161,707,363,295,1526
-503,896,2761,1608,1644,6908
-431,415,1157,656,652,2880
-430,70,256,127,127,579
-427,894,1698,1237,1247,5075
-425,2646,5222,3302,3091,14260
-421,1639,5527,3124,2801,13091
-420,605,2228,1166,1296,5294
-418,576,2611,1327,1561,6076
-416,563,1135,820,865,3384
-415,181,752,394,318,1645
-414,85,498,249,204,1036
-412,734,2459,1441,1282,5916
-411,310,1770,911,813,3804
-409,1574,4322,3124,3616,12637
-407,6649,8967,7424,7574,30614
-406,5436,10688,8302,7575,32001
-405,295,643,446,415,1799
-404,536,2588,1227,1474,5826
-403,1860,8714,4868,6587,22029
-402,5965,13481,8664,7599,35708
-401,3569,10942,6876,8669,30056
-400,5365,17478,9304,11170,43316
-382,367,1343,848,812,3370
-363,4547,9763,6976,6968,28254
-362,286,1016,529,376,2206
-354,4733,10348,7309,7379,29768
-353,28697,39858,36618,34610,139782
-351,24725,38258,30331,31014,124328
-350,5408,12504,8771,9238,35920
-349,8393,18365,12493,14629,53880
-348,23884,45518,33246,35765,138413
-341,28060,52120,35837,37605,153622
-340,16808,29266,20476,24738,91288
-335,5551,10781,8367,8154,32853
-333,6947,15601,10082,11566,44196
-332,9826,19170,12333,12306,53634
-329,4579,12313,8122,8283,33298
-327,5679,11875,8378,9942,35873
-325,3046,9746,6483,7001,26277
-324,402,1461,762,925,3549
-323,1009,3395,1865,2934,9204
-322,665,2309,1578,1179,5731
-321,323,602,481,496,1901
-320,1413,3334,2165,1767,8678
-319,4113,8138,6121,5304,23676
-317,530,1458,1126,660,3773
-315,30298,54705,37921,41225,164149
-314,997,3535,1846,2264,8642
-313,1577,7125,3886,5112,17700
-312,1659,4998,2799,3309,12765
-310,1587,4995,2905,3472,12960
-309,2109,6768,3664,5616,18157
-308,841,2397,1224,1333,5795
-306,37699,63411,44595,54730,200434
-305,640,1531,1035,899,4105
-304,276,1156,573,395,2401
-302,8876,20695,9751,43065,82387
-301,12656,23660,15970,14610,66897
