STATION,MATCHED_SEGID,MATCH_TYPE,SEGID,COUNTY_NAME,PCT_SUT,PCT_CUT,AVG_AM_VOL,AVG_MD_VOL,AVG_PM_VOL,AVG_EV_VOL,AVG_DY_VOL
-638,0015_242.4,Route Match (Spatial),0015_242.4,Utah,0.1057,0.1217,5340,13537,8304,10262,37443
-650,0006_159.8,Route Match (Spatial),0006_159.8,Utah,0.1013,0.0387,2677,5717,4521,4991,17907
-639,0015_248.8,Route Match (Spatial),0015_248.8,Utah,0.1038,0.1083,10029,20649,14295,16265,61238
-655,0015_253.6,Route Match (Spatial),0015_253.6,Utah,0.0974,0.0987,13791,26399,19320,20782,80292
-653,0156_001.0,Route Match (Spatial),0156_001.0,Utah,0.1006,0.0221,6009,14072,9263,9534,38878
-646,0077_007.4,Route Match (Spatial),0077_007.4,Utah,0.076,0.0175,5987,12392,8467,10120,36967
-664,0089_326.5,Route Match (Spatial),0089_326.5,Utah,0.1085,0.0568,0,0,0,107,107
-312,0006_181.6,Route Match (Spatial),0006_181.6,Utah,0.0676,0.1617,1659,4998,2799,3309,12765
-321,0006_146.9,Route Match (Spatial),0006_146.9,Utah,0.102,0.0806,323,602,481,496,1901
-327,0006_174.4,Route Match (Spatial),0006_174.4,Utah,0.0793,0.0729,5679,11875,8378,9942,35873
-349,0015_246.9,Route Match (Spatial),0015_246.9,Utah,0.107,0.1131,8393,18365,12493,14629,53880
-416,0089_297.1,Route Match (Spatial),0089_297.1,Utah,0.1169,0.0491,563,1135,820,865,3384
-611,0015_258.8,Route Match (Spatial),0015_258.8,Utah,0.091,0.0891,22502,41776,30481,33049,127808
-815,0080_104.3,Route Match (Spatial),0080_104.3,Salt Lake,0.0746,0.1119,8129,10124,8137,9532,35922
-348,0015_340.3,Route Match (Spatial),0015_340.3,Weber,0.0959,0.1074,23884,45518,33246,35765,138413
-613,0015_357.6,Route Match (Spatial),0015_357.6,Box Elder,0.1245,0.1439,9332,20608,13602,16184,59725
-634,0085_015.5,Route Match (Spatial),0085_015.5,Salt Lake,0.1112,0.0386,8132,9746,9577,10725,38180
-820,0154_006.8,Route Match (Spatial),0154_006.8,Salt Lake,0.1349,0.025,11819,19378,15963,19447,66608
-819,0154_008.3,Route Match (Spatial),0154_008.3,Salt Lake,0.1307,0.024,14358,22126,17482,21099,75065
-627,0154_012.9,Route Match (Spatial),0154_012.9,Salt Lake,0.1137,0.0202,18142,24739,22022,24159,89062
-657,2889_000.0,Route Match (Spatial),2889_000.0,Utah,0.1085,0.0568,4220,6850,5377,6638,23085
-626,0073_034.6,Route Match (Spatial),0073_034.6,Utah,0.1362,0.0716,8788,14842,11006,13224,47859
-631,0266_001.7,Route Match (Spatial),0266_001.7,Salt Lake,0.1576,0.0229,3871,8313,5618,6234,24036
-636,0154_001.4,Route Match (Spatial),0154_001.4,Salt Lake,0.1519,0.0288,14607,21959,17721,17810,72098
-680,0015_295.6,Route Match (Spatial),0015_295.6,Salt Lake,0.116,0.0532,11703,20603,12460,14248,59013
-816,0015_299.0,Route Match (Spatial),0015_299.0,Salt Lake,0.0828,0.0365,23272,49799,14211,54151,141432
-648,0194_000.8,Route Match (Spatial),0194_000.8,Utah,0.1242,0.0924,9285,16197,11021,14266,50769
-674,0015_283.9,Route Match (Spatial),0015_283.9,Utah,0.0702,0.0566,42157,74471,51443,59268,227339
-302,0015_289.8,Route Match (Spatial),0015_289.8,Salt Lake,0.101,0.0576,8876,20695,9751,43065,82387
-662,2878_004.4,Route Match (Spatial),2878_004.4,Utah,0.1242,0.0924,2460,4346,3325,3920,14051
-673,0015_279.6,Route Match (Spatial),0015_279.6,Utah,0.0798,0.0618,35232,65809,45223,51532,197796
-675,0092_002.4,Route Match (Spatial),0092_002.4,Utah,0.0657,0.0132,4437,8426,5966,6295,25124
-676,0092_002.4,Route Match (Spatial),0092_002.4,Utah,0.0657,0.0132,2824,7245,5303,4757,20129
-818,0215_007.7,Route Match (Spatial),0215_007.7,Salt Lake,0.0907,0.0286,18124,31182,19894,21492,90691
-632,0145_005.3,Route Match (Spatial),0145_005.3,Utah,0.0858,0.0241,10083,18097,13339,14690,56210
-672,0015_278.5,Route Match (Spatial),0015_278.5,Utah,0.085,0.0646,35905,65613,44339,51552,197409
-643,2932_001.3,Route Match (Spatial),2932_001.3,Utah,0.1085,0.0568,1686,4596,3228,3052,12561
-658,0089_349.3,Route Match (Spatial),0089_349.3,Utah,0.1328,0.0446,2275,11760,7215,7148,28397
-335,0173_007.7,Route Match (Spatial),0173_007.7,Salt Lake,0.0637,0.0131,5551,10781,8367,8154,32853
-351,0215_011.5,Route Match (Spatial),0215_011.5,Salt Lake,0.1052,0.0392,24725,38258,30331,31014,124328
-406,0071_015.7,Route Match (Spatial),0071_015.7,Salt Lake,0.0816,0.0268,5436,10688,8302,7575,32001
-407,0068_038.1,Route Match (Spatial),0068_038.1,Salt Lake,0.0849,0.0221,6649,8967,7424,7574,30614
-617,0215_003.7,Route Match (Spatial),0215_003.7,Salt Lake,0.0713,0.0207,11136,21257,17619,15624,65636
-317,0210_003.9,Route Match (Spatial),0210_003.9,Salt Lake,0.1599,0.0193,530,1458,1126,660,3773
-670,0015_272.7,Route Match (Spatial),0015_272.7,Utah,0.1035,0.0745,41193,74407,50849,60586,227035
-671,0015_272.7,Route Match (Spatial),0015_272.7,Utah,0.1035,0.0745,42109,77693,52623,61274,233699
-647,0089_344.0,Route Match (Spatial),0089_344.0,Utah,0.0801,0.0144,4637,12870,9098,8710,35315
-651,0114_005.0,Route Match (Spatial),0114_005.0,Utah,0.0668,0.0209,3882,8912,7022,8156,27971
-641,0015_271.6,Route Match (Spatial),0015_271.6,Utah,0.1077,0.0767,39369,73432,49340,59816,221957
-669,0015_269.6,Route Match (Spatial),0015_269.6,Utah,0.0969,0.0707,36381,66275,46989,56059,205704
-642,0052_001.0,Route Match (Spatial),0052_001.0,Utah,0.1344,0.0328,7596,17703,11881,12902,50081
-306,0015_267.0,Route Match (Spatial),0015_267.0,Utah,0.0832,0.065,37699,63411,44595,54730,200434
-668,0015_264.2,Route Match (Spatial),0015_264.2,Utah,0.0887,0.0765,27823,49358,36247,38901,152328
-649,0114_000.0,Route Match (Spatial),0114_000.0,Utah,0.0412,0.0079,6226,13081,8585,11197,39090
-661,0052_003.1,Route Match (Spatial),0052_003.1,Utah,0.2006,0.0317,5758,12533,8645,8320,35256
-659,0189_002.7,Route Match (Spatial),0189_002.7,Utah,0.1051,0.0443,4937,13651,8826,13229,40643
-667,0015_261.8,Route Match (Spatial),0015_261.8,Utah,0.0846,0.0795,29764,55048,40159,42968,167939
-665,0015_260.0,Route Match (Spatial),0015_260.0,Utah,0.0878,0.0843,27526,50517,36688,39489,154220
-660,0089_329.8,Route Match (Spatial),0089_329.8,Utah,0.0748,0.0242,3428,7006,5718,5326,21478
-319,0189_013.1,Route Match (Spatial),0189_013.1,Utah,0.2773,0.0764,4113,8138,6121,5304,23676
-322,0190_001.8,Route Match (Spatial),0190_001.8,Salt Lake,0.1229,0.0159,665,2309,1578,1179,5731
-350,0189_004.0,Route Match (Spatial),0189_004.0,Utah,0.0456,0.0164,5408,12504,8771,9238,35920
-601,0092_007.6,Route Match (Spatial),0092_007.6,Utah,0.0864,0.0129,181,1056,823,871,2931
-602,0092_018.8,Route Match (Spatial),0092_018.8,Utah,0.2299,0.0505,58,902,726,563,2248
-354,0171_008.8,Route Match (Spatial),0171_008.8,Salt Lake,0.0998,0.0213,4733,10348,7309,7379,29768
-629,0015_303.4,Route Match (Spatial),0015_303.4,Salt Lake,0.0541,0.034,44559,85093,50664,65684,246000
-353,0215_017.5,Route Match (Spatial),0215_017.5,Salt Lake,0.0615,0.0353,28697,39858,36618,34610,139782
-341,0080_123.2,Route Match (Spatial),0080_123.2,Salt Lake,0.0788,0.0507,28060,52120,35837,37605,153622
-301,0080_128.7,Route Match (Spatial),0080_128.7,Salt Lake,0.0997,0.0892,12656,23660,15970,14610,66897
-333,0071_021.2,Route Match (Spatial),0071_021.2,Salt Lake,0.0356,0.0056,6947,15601,10082,11566,44196
-677,0080_136.1,Route Match (Spatial),0080_136.1,Salt Lake,0.1141,0.1051,10936,21398,15157,14252,61743
-325,0089_377.3,Route Match (Spatial),0089_377.3,Salt Lake,0.0885,0.0164,3046,9746,6483,7001,26277
-332,0186_006.0,Route Match (Spatial),0186_006.0,Salt Lake,0.1174,0.0252,9826,19170,12333,12306,53634
-340,0080_117.7,Route Match (Spatial),0080_117.7,Salt Lake,0.1036,0.0417,16808,29266,20476,24738,91288
-409,2330_001.0,Route Match (Spatial),2330_001.0,Salt Lake,0.1051,0.0443,1574,4322,3124,3616,12637
-628,0215_027.4,Route Match (Spatial),0215_027.4,Davis,0.0974,0.0643,7489,11784,9667,10009,38950
-624,0067_000.0,Route Match (Spatial),0067_000.0,Davis,0.0646,0.0957,10124,12369,11527,10957,44977
-315,0015_319.5,Route Match (Spatial),0015_319.5,Davis,0.0568,0.0526,30298,54705,37921,41225,164149
-625,0067_010.1,Route Match (Spatial),0067_010.1,Davis,0.1288,0.0997,11418,14487,13124,12708,51737
-616,0015_313.7,Route Match (Spatial),0015_313.7,Davis,0.0873,0.0728,34361,59064,41513,45557,180495
-711,0154_020.0,Route Match (Spatial),0154_020.0,Salt Lake,0.0388,0.0227,9147,14192,8562,14170,46070
-329,0089_412.4,Route Match (Spatial),0089_412.4,Weber,0.0845,0.0149,4579,12313,8122,8283,33298
-612,0015_330.1,Route Match (Spatial),0015_330.1,Davis,0.0857,0.0713,28032,51991,36378,40678,157079
