STATION,MATCHED_SEGID,FTCLASS,ATYPENAME,COUNTY_NAME,PERIOD,VEHICLE_TYPE,OBSERVED,MODELED,DIFF,PCT_DIFF
-624,0067_000.0,,,Davis,AM,Auto,8377.26917554,0.0,-8377.26917554,-1.0
-625,0067_007.3,,,Davis,AM,Auto,8805.995061534,0.0,-8805.995061534,-1.0
-302,0015_289.8,Freeway,Urban,Salt Lake,AM,Auto,7468.488069223999,41620.244913935996,34151.756844712,4.573
-626,0073_034.6,Principal Arterial,Transition,Utah,AM,Auto,6962.083388624,6740.1016219544,-221.9817666695999,-0.032
-627,0154_012.9,Expressway,Suburban,Salt Lake,AM,Auto,15750.627128298,11278.7756117928,-4471.8515165051995,-0.284
-723,0015_241.6,Freeway,Rural,Utah,AM,Auto,7395.620114427,5623.2333329058,-1772.3867815211997,-0.24
-712,1822_000.0,,,Utah,AM,Auto,1864.0,0.0,-1864.0,-1.0
-713,1828_006.7,Collector,Rural,Utah,AM,Auto,1879.0,136.8,-1742.2,-0.927
-714,0006_149.9,Principal Arterial,Rural,Utah,AM,Auto,922.550484116,282.4757890336,-640.0746950824,-0.694
-628,0215_027.4,Freeway,Suburban,Davis,AM,Auto,6327.2548256360005,5139.785649854,-1187.469175782,-0.188
-629,0015_303.4,Freeway,Urban,Salt Lake,AM,Auto,40665.455077139995,41323.636952892,658.1818757520014,0.016
-631,0266_001.7,Principal Arterial,Urban,Salt Lake,AM,Auto,3299.555474131,5325.4024117097,2025.8469375786995,0.614
-632,0145_005.3,Expressway,Suburban,Utah,AM,Auto,8972.544035085,8130.995399363499,-841.5486357215013,-0.094
-634,0085_015.5,Expressway,Suburban,Salt Lake,AM,Auto,6859.9793455,7335.673191162499,475.69384566249937,0.069
-720,0015_241.6,Freeway,Rural,Utah,AM,Auto,1460.976197468,5623.2333329058,4162.2571354378,2.849
-733,0015_241.6,Freeway,Rural,Utah,AM,Auto,2847.226054982,5623.2333329058,2776.0072779238003,0.975
-677,0080_136.1,Freeway,Rural,Salt Lake,AM,Auto,8513.685929888,12200.4326799036,3686.7467500156,0.433
-680,0015_295.6,Freeway,Urban,Salt Lake,AM,Auto,9579.213441039,51977.239401813,42398.025960774,4.426
-678,0080_136.1,Freeway,Rural,Salt Lake,AM,Auto,7551.458807600001,12200.4326799036,4648.9738723036,0.616
-679,0091_006.6,Principal Arterial,Rural,Box Elder,AM,Auto,2874.979602122,3288.7465484510003,413.76694632900035,0.144
-682,0091_004.9,Principal Arterial,Transition,Box Elder,AM,Auto,3379.9282795139998,3894.5258183868,514.5975388728002,0.152
-724,0068_000.0,Principal Arterial,Rural,Utah,AM,Auto,834.236189059,239.4109773335,-594.8252117255,-0.713
-725,0006_150.6,Principal Arterial,Rural,Utah,AM,Auto,986.0914503280001,353.6577575116,-632.4336928164,-0.641
-726,0089_297.1,Expressway,Rural,Utah,AM,Auto,341.497173642,671.9843291174001,330.4871554754001,0.968
-727,0089_297.1,Expressway,Rural,Utah,AM,Auto,479.588926918,671.9843291174001,192.39540219940005,0.401
-728,0089_297.1,Expressway,Rural,Utah,AM,Auto,1153.252750332,671.9843291174001,-481.2684212145999,-0.417
-730,2495_013.0,,,Utah,AM,Auto,389.0,0.0,-389.0,-1.0
-731,0096_013.6,,,Utah,AM,Auto,141.930206856,0.0,-141.930206856,-1.0
-732,1822_009.9,,,Utah,AM,Auto,239.0,0.0,-239.0,-1.0
-729,1328_000.0,,,Utah,AM,Auto,1674.0,0.0,-1674.0,-1.0
-636,0154_001.4,Freeway,Transition,Salt Lake,AM,Auto,11947.388465267999,12667.896064299599,720.5075990316,0.06
-734,0006_152.6,Minor Arterial,Rural,Utah,AM,Auto,1036.930532462,454.18854385739996,-582.7419886046,-0.562
-748,0006_152.9,Principal Arterial,Rural,Utah,AM,Auto,666.230470178,685.2656264688,19.035156290799932,0.029
-747,2871_000.3,Minor Arterial,Transition,Utah,AM,Auto,761.0,669.0,-92.0,-0.121
-821,0089_433.3,Principal Arterial,Suburban,Box Elder,AM,Auto,291.433579491,2552.3589471123,2260.9253676213,7.758
-818,0215_007.7,Freeway,Urban,Salt Lake,AM,Auto,15855.594740924,16382.6856607765,527.0909198525005,0.033
-816,0015_300.3,Freeway,Urban,Salt Lake,AM,Auto,20767.394029928,41328.649007737,20561.254977809003,0.99
-820,0154_006.8,Expressway,Suburban,Salt Lake,AM,Auto,9931.051188536,9193.8057098304,-737.2454787055995,-0.074
