STATION,MATCHED_SEGID,FTCLASS,ATYPENAME,COUNTY_NAME,PERIOD,VEHICLE_TYPE,OBSERVED,MODELED,DIFF,PCT_DIFF
-638,0015_242.4,Freeway,Transition,Utah,AM,Auto,4125.684,6428.57282,2302.88882,0.558
-650,0006_159.8,Principal Arterial,Suburban,Utah,AM,Auto,2302.22,2498.214,195.99400000000014,0.085
-639,0015_248.8,Freeway,Suburban,Utah,AM,Auto,7901.8491,10387.831180000001,2485.9820800000007,0.315
-655,0015_253.6,Freeway,Rural,Utah,AM,Auto,11086.584900000002,13781.498870000001,2694.9139699999996,0.243
-653,0156_001.0,Principal Arterial,Urban,Utah,AM,Auto,5271.6957,6479.21142,1207.5157199999994,0.229
-646,0077_007.4,Principal Arterial,Suburban,Utah,AM,Auto,5427.2155,5609.6033,182.38779999999952,0.034
-664,0089_326.5,Principal Arterial,Suburban,Utah,AM,Auto,0.0,3459.9149700000003,3459.9149700000003,inf
-312,0006_181.6,Expressway,Rural,Utah,AM,Auto,1278.5912999999998,2527.8959999999997,1249.3047,0.977
-321,0006_146.9,Principal Arterial,Rural,Utah,AM,Auto,264.0202,279.30558,15.285380000000032,0.058
-327,0006_174.4,Expressway,Suburban,Utah,AM,Auto,4814.6562,6582.7431,1768.0868999999993,0.367
-349,0015_246.9,Freeway,Transition,Utah,AM,Auto,6545.7007,9019.15355,2473.4528500000006,0.378
-416,0089_297.1,Expressway,Rural,Utah,AM,Auto,469.542,641.0124,171.47039999999998,0.365
-611,0015_258.8,Freeway,Suburban,Utah,AM,Auto,18449.3898,23579.668080000003,5130.278280000002,0.278
-815,0080_104.3,Freeway,Transition,Salt Lake,AM,Auto,6612.9415,5251.0611499999995,-1361.8803500000004,-0.206
-348,0015_340.3,Freeway,Suburban,Weber,AM,Auto,19028.3828,20608.31857,1579.93577,0.083
-613,0015_357.6,Freeway,Rural,Box Elder,AM,Auto,6827.291200000001,8958.58832,2131.29712,0.312
-820,0154_006.8,Expressway,Suburban,Salt Lake,AM,Auto,9929.1419,10911.302810000001,982.1609100000005,0.099
